shipment_id,customer_id,product_category,warehouse_block,mode_of_shipment,route,customer_care_calls,customer_rating,cost_of_product,prior_purchases,discount_offered,weight_in_gms,scheduled_days,actual_days,on_time_delivery,shipment_date
SHIP00016,CUST1117,Electronics,A,Ship,Delhi-Mumbai,1,3,447.2,3,18.1,4976,6,9,0,2023-04-23
SHIP00017,CUST8744,Fashion,D,Flight,Delhi-Bangalore,1,1,3329.02,5,27.5,4825,6,9,0,2023-03-09
SHIP00018,CUST2612,Electronics,D,Road,Mumbai-Chennai,7,1,1318.42,3,34.9,2148,3,7,0,2023-12-01
SHIP00019,CUST8579,Fashion,A,Flight,Hyderabad-Pune,1,1,3295.51,8,54.3,1764,9,9,1,2023-05-23
SHIP00020,CUST8956,Cosmetics,B,Flight,Delhi-Mumbai,2,4,110.56,6,17.2,4727,6,6,1,2023-07-28
SHIP00021,CUST8973,Fashion,B,Flight,Delhi-Bangalore,1,5,3705.11,0,48.6,1468,7,9,0,2023-12-23
SHIP00022,CUST9238,Sporting Goods,B,Ship,Hyderabad-Pune,1,2,435.75,1,43.9,2926,3,6,0,2023-09-02
SHIP00023,CUST5033,Sporting Goods,F,Ship,Hyderabad-Pune,1,4,3321.13,8,20.6,3136,9,8,1,2023-10-19
SHIP00024,CUST4910,Home & Garden,D,Ship,Bangalore-Chennai,6,3,2340.4,1,0.6,6088,6,10,0,2023-06-10
SHIP00025,CUST4492,Sporting Goods,C,Ship,Mumbai-Chennai,1,2,1910.68,2,28.5,5450,4,3,1,2023-10-03
SHIP00026,CUST9666,Electronics,F,Flight,Bangalore-Chennai,1,2,1395.88,1,48.3,2273,7,10,0,2023-12-01
SHIP00027,CUST4450,Books,C,Ship,Bangalore-Chennai,6,3,2576.5,4,58.8,1416,7,8,0,2023-11-06
SHIP00028,CUST5533,Electronics,A,Flight,Delhi-Bangalore,6,3,891.75,7,35.9,4503,4,8,0,2023-08-05
SHIP00029,CUST3442,Sporting Goods,A,Flight,Hyderabad-Pune,5,2,2205.95,0,20.0,1326,3,2,1,2023-02-08
SHIP00030,CUST5088,Books,A,Flight,Hyderabad-Pune,7,4,4871.8,2,60.2,2939,8,8,1,2023-12-16
SHIP00031,CUST7755,Electronics,B,Road,Mumbai-Chennai,7,4,4030.95,3,17.3,6744,5,10,0,2023-04-01
SHIP00032,CUST8711,Fashion,B,Flight,Mumbai-Chennai,3,2,1192.33,3,25.9,3282,4,6,0,2023-01-20
SHIP00033,CUST6753,Books,F,Flight,Bangalore-Chennai,7,5,1722.63,0,7.5,3139,4,9,0,2023-05-23
SHIP00034,CUST1626,Electronics,F,Flight,Mumbai-Chennai,6,3,2238.33,8,7.5,5723,5,8,0,2023-05-16
SHIP00035,CUST8144,Electronics,F,Road,Bangalore-Chennai,6,2,1884.69,1,61.7,3704,6,7,0,2023-01-23
SHIP00036,CUST5920,Sporting Goods,C,Road,Kolkata-Delhi,3,4,3516.32,8,8.3,4444,8,12,0,2023-03-05
SHIP00037,CUST5930,Cosmetics,F,Ship,Mumbai-Chennai,3,2,2206.45,5,30.2,4622,9,13,0,2023-03-31
SHIP00038,CUST3780,Books,A,Flight,Hyderabad-Pune,6,5,1742.42,3,43.7,2840,6,9,0,2023-08-31
SHIP00039,CUST1757,Fashion,D,Road,Delhi-Mumbai,4,4,4442.07,3,46.7,4145,6,6,1,2023-01-13
SHIP00040,CUST3417,Books,A,Ship,Kolkata-Delhi,2,2,4040.14,8,30.2,5566,10,12,0,2023-05-05
SHIP00041,CUST8478,Fashion,D,Road,Hyderabad-Pune,5,5,1654.76,7,39.8,6892,6,11,0,2023-03-04
SHIP00042,CUST8305,Fashion,D,Flight,Mumbai-Chennai,7,2,4215.33,4,49.8,5270,9,14,0,2023-10-08
SHIP00043,CUST5499,Cosmetics,A,Road,Mumbai-Chennai,2,3,1745.65,8,5.2,2235,10,14,0,2023-05-03
SHIP00044,CUST3503,Books,B,Ship,Kolkata-Delhi,4,3,2758.79,6,4.0,4441,6,8,0,2023-12-22
SHIP00045,CUST1320,Sporting Goods,D,Flight,Delhi-Mumbai,3,3,3792.03,6,35.0,5473,9,14,0,2023-10-27
SHIP00046,CUST5471,Cosmetics,D,Ship,Kolkata-Delhi,3,4,3648.49,7,59.8,6097,6,8,0,2023-04-23
SHIP00047,CUST1444,Electronics,D,Ship,Kolkata-Delhi,2,1,1374.77,5,13.8,3677,3,5,0,2023-10-31
SHIP00048,CUST5558,Cosmetics,C,Ship,Kolkata-Delhi,1,5,355.22,5,14.6,1562,8,13,0,2023-07-14
SHIP00049,CUST5051,Fashion,A,Road,Delhi-Bangalore,2,2,2420.45,1,36.7,2785,3,8,0,2023-01-16
SHIP00050,CUST7043,Fashion,F,Road,Bangalore-Chennai,6,1,3911.18,2,62.7,1885,10,14,0,2023-05-12
SHIP00051,CUST7149,Cosmetics,B,Ship,Hyderabad-Pune,6,2,599.32,4,55.3,5918,3,4,0,2023-10-22
SHIP00052,CUST1672,Home & Garden,F,Flight,Bangalore-Chennai,3,1,2579.21,5,0.8,4441,4,9,0,2023-10-17
SHIP00053,CUST6934,Books,D,Road,Delhi-Bangalore,4,2,3695.6,4,40.0,5408,10,9,1,2023-08-10
SHIP00054,CUST5397,Home & Garden,B,Ship,Mumbai-Chennai,4,2,3777.33,6,21.9,5049,10,12,0,2023-08-12
SHIP00055,CUST4475,Home & Garden,C,Flight,Mumbai-Chennai,5,3,2823.38,8,61.6,1701,8,8,1,2023-09-07
SHIP00056,CUST9004,Sporting Goods,B,Road,Kolkata-Delhi,6,4,2296.06,0,6.0,2815,6,10,0,2023-07-28
SHIP00057,CUST6016,Books,F,Flight,Kolkata-Delhi,5,5,1784.41,8,21.5,6757,9,13,0,2023-05-05
SHIP00058,CUST5118,Fashion,A,Road,Delhi-Bangalore,3,1,3740.12,2,12.5,4966,10,11,0,2023-06-06
SHIP00059,CUST9595,Sporting Goods,C,Ship,Delhi-Bangalore,3,2,1868.32,4,0.9,5375,7,11,0,2023-10-29
SHIP00060,CUST1893,Sporting Goods,C,Road,Delhi-Bangalore,6,4,602.68,0,37.3,4845,5,6,0,2023-01-24
SHIP00061,CUST4020,Electronics,C,Flight,Delhi-Mumbai,7,1,2063.47,1,37.5,6623,10,12,0,2023-06-24
SHIP00062,CUST5978,Electronics,B,Ship,Hyderabad-Pune,7,4,3070.96,3,50.4,4116,3,3,1,2023-03-18
SHIP00063,CUST8025,Home & Garden,F,Road,Delhi-Mumbai,5,1,4743.19,3,40.7,3167,10,12,0,2023-06-02
SHIP00064,CUST3847,Sporting Goods,A,Ship,Delhi-Mumbai,4,4,3477.92,7,18.9,2896,4,4,1,2023-05-03
SHIP00065,CUST8438,Electronics,B,Flight,Bangalore-Chennai,5,2,2183.18,8,14.6,2220,7,11,0,2023-05-25
SHIP00066,CUST2169,Electronics,B,Flight,Hyderabad-Pune,6,5,4613.84,7,8.1,6641,7,12,0,2023-03-14
SHIP00067,CUST5460,Sporting Goods,F,Flight,Kolkata-Delhi,1,5,295.32,6,47.7,5945,7,11,0,2023-07-26
SHIP00068,CUST4750,Books,F,Road,Delhi-Mumbai,7,3,2923.61,2,30.6,6337,7,6,1,2023-02-16
SHIP00069,CUST8141,Books,D,Ship,Kolkata-Delhi,3,4,1733.21,1,55.8,3701,10,11,0,2023-04-03
SHIP00070,CUST5722,Books,D,Road,Delhi-Mumbai,4,1,1641.13,5,7.5,4311,9,13,0,2023-09-11
SHIP00071,CUST8569,Cosmetics,A,Ship,Hyderabad-Pune,3,5,3806.57,7,49.4,2667,3,7,0,2023-10-05
SHIP00072,CUST5719,Cosmetics,D,Ship,Delhi-Mumbai,6,5,4016.64,2,20.2,1112,7,10,0,2023-03-09
SHIP00073,CUST2858,Cosmetics,A,Road,Delhi-Bangalore,4,3,2593.47,4,27.0,4952,9,8,1,2023-04-26
SHIP00074,CUST3369,Cosmetics,B,Road,Hyderabad-Pune,6,2,4333.73,4,50.2,4399,10,10,1,2023-08-22
SHIP00075,CUST5377,Electronics,C,Road,Mumbai-Chennai,7,5,2941.62,7,56.2,4658,8,13,0,2023-09-17
SHIP00076,CUST9903,Cosmetics,D,Flight,Delhi-Bangalore,6,2,2901.81,3,55.6,4365,10,11,0,2023-06-20
SHIP00077,CUST7246,Cosmetics,B,Flight,Delhi-Mumbai,2,5,4830.23,5,56.5,4606,3,4,0,2023-08-31
SHIP00078,CUST1251,Books,B,Flight,Bangalore-Chennai,2,1,2400.5,4,22.0,6674,4,7,0,2023-08-22
SHIP00079,CUST6383,Books,F,Flight,Mumbai-Chennai,6,4,4374.68,0,40.1,2923,9,13,0,2023-02-11
SHIP00080,CUST8110,Electronics,A,Flight,Delhi-Bangalore,6,3,4526.78,0,21.1,1459,7,7,1,2023-02-16
SHIP00081,CUST8056,Fashion,B,Road,Kolkata-Delhi,5,2,932.92,1,39.6,4133,7,8,0,2023-07-11
SHIP00082,CUST3344,Fashion,D,Road,Mumbai-Chennai,4,3,3367.52,7,58.6,6550,6,8,0,2023-10-26
SHIP00083,CUST6661,Sporting Goods,C,Road,Kolkata-Delhi,6,3,2338.5,4,12.9,4151,5,4,1,2023-08-15
SHIP00084,CUST7248,Sporting Goods,C,Road,Mumbai-Chennai,6,3,207.5,6,17.8,5636,10,9,1,2023-05-02
SHIP00085,CUST5689,Fashion,F,Flight,Delhi-Bangalore,6,2,3142.37,2,40.8,6140,3,6,0,2023-09-12
SHIP00086,CUST1546,Sporting Goods,C,Road,Delhi-Bangalore,1,3,1700.92,6,11.4,2082,3,4,0,2023-08-14
SHIP00087,CUST5465,Fashion,C,Flight,Mumbai-Chennai,6,3,4040.74,7,62.6,2153,8,11,0,2023-09-14
SHIP00088,CUST7511,Sporting Goods,C,Ship,Kolkata-Delhi,1,3,2729.2,7,24.0,6507,6,11,0,2023-12-13
SHIP00089,CUST7086,Electronics,B,Flight,Delhi-Mumbai,5,5,1707.23,3,42.1,6205,7,10,0,2023-07-15
SHIP00090,CUST7689,Electronics,B,Ship,Delhi-Mumbai,3,4,668.99,3,57.7,2111,10,14,0,2023-06-04
SHIP00091,CUST9850,Cosmetics,F,Road,Bangalore-Chennai,2,4,3309.12,7,40.0,3291,9,11,0,2023-07-09
SHIP00092,CUST4559,Cosmetics,D,Ship,Mumbai-Chennai,1,3,2767.88,5,3.9,3260,3,7,0,2023-07-09
SHIP00093,CUST2501,Books,B,Road,Bangalore-Chennai,5,1,347.83,5,15.8,2031,6,5,1,2023-08-21
SHIP00094,CUST4394,Sporting Goods,B,Ship,Mumbai-Chennai,7,2,3964.35,0,18.0,2185,6,5,1,2023-10-11
SHIP00095,CUST3858,Electronics,A,Ship,Delhi-Mumbai,3,2,2985.38,0,11.3,1429,5,8,0,2023-05-09
SHIP00096,CUST9619,Electronics,A,Flight,Kolkata-Delhi,7,3,2614.87,1,29.4,2814,5,9,0,2023-08-04
SHIP00097,CUST9543,Home & Garden,D,Road,Delhi-Mumbai,1,4,4251.76,6,44.6,5016,3,7,0,2023-12-04
SHIP00098,CUST6277,Sporting Goods,B,Ship,Delhi-Bangalore,3,5,3202.08,8,46.3,4120,10,9,1,2023-02-11
SHIP00099,CUST8048,Electronics,A,Road,Bangalore-Chennai,7,5,3632.12,3,28.0,2871,7,9,0,2023-09-16
SHIP00100,CUST7532,Cosmetics,A,Flight,Kolkata-Delhi,3,3,1934.08,2,44.6,4885,9,10,0,2023-08-21
SHIP00101,CUST2527,Cosmetics,A,Road,Bangalore-Chennai,3,2,2826.22,8,36.5,6488,4,3,1,2023-02-13
SHIP00102,CUST7929,Books,A,Flight,Hyderabad-Pune,3,3,607.64,8,13.8,6379,4,6,0,2023-07-01
SHIP00103,CUST6736,Sporting Goods,C,Ship,Mumbai-Chennai,5,2,4055.38,8,63.3,6093,10,10,1,2023-02-25
SHIP00104,CUST5381,Electronics,B,Flight,Bangalore-Chennai,7,3,4615.53,5,0.4,2173,3,6,0,2023-12-03
SHIP00105,CUST1502,Electronics,F,Ship,Kolkata-Delhi,4,4,1770.39,5,20.3,3657,9,8,1,2023-03-14
SHIP00106,CUST3579,Sporting Goods,A,Road,Delhi-Mumbai,3,4,3343.5,7,39.5,4392,4,3,1,2023-03-21
SHIP00107,CUST2864,Home & Garden,D,Ship,Mumbai-Chennai,6,5,2484.5,4,3.0,4237,7,7,1,2023-09-20
SHIP00108,CUST5938,Fashion,B,Flight,Mumbai-Chennai,3,1,137.88,6,11.4,4114,3,2,1,2023-04-15
SHIP00109,CUST6802,Electronics,D,Road,Delhi-Mumbai,4,1,2352.8,1,56.0,5716,6,9,0,2023-10-14
SHIP00110,CUST7843,Home & Garden,A,Flight,Delhi-Mumbai,3,2,4026.48,7,54.1,3964,9,12,0,2023-07-27
SHIP00111,CUST4986,Cosmetics,F,Flight,Hyderabad-Pune,1,4,4365.57,5,14.4,2377,4,6,0,2023-02-24
SHIP00112,CUST2868,Sporting Goods,F,Ship,Mumbai-Chennai,3,2,1257.72,2,16.6,2421,4,7,0,2023-11-21
SHIP00113,CUST2234,Fashion,D,Flight,Hyderabad-Pune,7,5,2299.64,5,56.2,6138,5,10,0,2023-12-02
SHIP00114,CUST2118,Cosmetics,D,Road,Mumbai-Chennai,7,3,2997.96,5,33.0,3542,8,8,1,2023-08-14
SHIP00115,CUST1932,Home & Garden,C,Ship,Bangalore-Chennai,7,1,3113.54,8,25.0,5754,10,12,0,2023-01-20
SHIP00116,CUST4084,Home & Garden,F,Flight,Hyderabad-Pune,2,1,2307.56,5,63.9,1690,3,5,0,2023-10-20
SHIP00117,CUST8172,Cosmetics,F,Road,Hyderabad-Pune,2,3,1926.97,4,25.2,3771,5,4,1,2023-05-07
SHIP00118,CUST6482,Electronics,C,Ship,Hyderabad-Pune,6,4,1492.32,2,21.7,5773,3,8,0,2023-11-20
SHIP00119,CUST7421,Fashion,F,Road,Delhi-Mumbai,3,5,1945.73,5,52.9,6489,5,6,0,2023-06-08
SHIP00120,CUST7937,Sporting Goods,C,Ship,Mumbai-Chennai,3,2,4760.73,5,61.6,4983,4,8,0,2023-12-10
SHIP00121,CUST3538,Electronics,C,Ship,Hyderabad-Pune,7,5,4192.09,8,2.5,3758,6,6,1,2023-03-12
SHIP00122,CUST3527,Fashion,B,Road,Hyderabad-Pune,7,2,3633.8,0,26.7,6540,5,8,0,2023-07-12
SHIP00123,CUST5668,Books,D,Ship,Hyderabad-Pune,2,3,4831.42,7,58.8,2589,6,8,0,2023-11-09
SHIP00124,CUST8218,Cosmetics,C,Flight,Hyderabad-Pune,5,4,4834.71,3,52.1,2133,8,12,0,2023-10-20
SHIP00125,CUST8873,Home & Garden,F,Ship,Bangalore-Chennai,7,5,4270.71,4,5.5,2313,7,6,1,2023-11-25
SHIP00126,CUST3414,Cosmetics,A,Ship,Kolkata-Delhi,3,1,2132.99,6,32.6,2931,7,9,0,2023-09-20
SHIP00127,CUST4678,Electronics,C,Ship,Bangalore-Chennai,6,3,3977.77,2,2.5,4870,9,8,1,2023-07-11
SHIP00128,CUST8685,Cosmetics,F,Ship,Delhi-Mumbai,1,3,1156.71,2,35.7,6957,5,10,0,2023-12-28
SHIP00129,CUST4893,Home & Garden,A,Ship,Delhi-Bangalore,4,5,2339.86,1,54.4,5094,9,8,1,2023-05-28
SHIP00130,CUST4963,Books,B,Flight,Kolkata-Delhi,1,5,1828.8,6,12.2,6474,3,7,0,2023-09-21
SHIP00131,CUST2108,Sporting Goods,F,Road,Hyderabad-Pune,5,1,2013.22,7,2.8,4169,4,7,0,2023-07-04
SHIP00132,CUST6850,Electronics,C,Ship,Bangalore-Chennai,6,1,3880.36,5,8.7,3886,8,9,0,2023-01-09
SHIP00133,CUST3868,Books,D,Road,Kolkata-Delhi,6,2,4076.34,1,46.5,4749,8,13,0,2023-11-26
SHIP00134,CUST1717,Fashion,A,Flight,Mumbai-Chennai,5,4,4946.7,8,30.8,1299,3,4,0,2023-04-14
SHIP00135,CUST1783,Books,C,Flight,Delhi-Mumbai,7,3,2241.06,6,48.3,4167,6,7,0,2023-07-02
SHIP00136,CUST9151,Home & Garden,F,Flight,Delhi-Mumbai,6,4,486.74,2,35.5,3631,8,8,1,2023-09-12
SHIP00137,CUST5843,Home & Garden,D,Road,Bangalore-Chennai,4,2,3479.85,5,29.1,6954,4,3,1,2023-06-17
SHIP00138,CUST5498,Books,A,Ship,Bangalore-Chennai,6,4,1880.22,2,61.9,2169,8,11,0,2023-08-11
SHIP00139,CUST2101,Fashion,C,Flight,Kolkata-Delhi,5,1,3064.96,7,61.7,4047,10,9,1,2023-03-06
SHIP00140,CUST3255,Sporting Goods,C,Flight,Mumbai-Chennai,6,3,1323.1,1,1.7,2524,10,15,0,2023-02-09
SHIP00141,CUST2929,Home & Garden,C,Road,Kolkata-Delhi,2,5,1499.33,7,13.0,2111,10,13,0,2023-07-18
SHIP00142,CUST8292,Electronics,C,Road,Mumbai-Chennai,6,1,2794.99,4,57.9,2290,4,6,0,2023-03-30
SHIP00143,CUST9335,Fashion,A,Ship,Delhi-Bangalore,2,4,228.79,8,37.2,4828,5,10,0,2023-07-05
SHIP00144,CUST2077,Home & Garden,D,Road,Bangalore-Chennai,4,5,2112.9,6,53.5,1604,5,8,0,2023-02-14
SHIP00145,CUST2215,Cosmetics,D,Road,Hyderabad-Pune,3,2,4402.0,8,41.6,2490,5,6,0,2023-11-25
SHIP00146,CUST1907,Electronics,F,Ship,Mumbai-Chennai,2,2,1681.04,3,22.5,5250,5,7,0,2023-09-15
SHIP00147,CUST5105,Fashion,F,Flight,Delhi-Bangalore,6,3,3110.7,1,32.7,2381,7,12,0,2023-02-10
SHIP00148,CUST6531,Sporting Goods,A,Ship,Delhi-Mumbai,1,5,1396.81,3,49.9,4412,5,5,1,2023-12-04
SHIP00149,CUST9938,Home & Garden,C,Flight,Delhi-Bangalore,7,4,1557.43,1,44.8,2294,3,5,0,2023-11-18
SHIP00150,CUST8609,Fashion,C,Road,Delhi-Bangalore,3,3,3697.58,5,63.4,2071,10,12,0,2023-09-05
SHIP00151,CUST2739,Home & Garden,B,Flight,Delhi-Mumbai,3,4,1314.8,1,3.3,4146,8,11,0,2023-10-15
SHIP00152,CUST6364,Sporting Goods,C,Ship,Delhi-Bangalore,4,5,2387.39,4,32.3,1737,9,9,1,2023-03-23
SHIP00153,CUST4944,Fashion,F,Flight,Delhi-Mumbai,1,3,2524.98,7,18.6,1066,9,12,0,2023-08-23
SHIP00154,CUST5333,Books,C,Flight,Mumbai-Chennai,1,4,350.67,8,12.7,5532,4,6,0,2023-03-10
SHIP00155,CUST9261,Cosmetics,F,Flight,Hyderabad-Pune,6,5,682.17,1,25.6,3777,7,6,1,2023-07-17
SHIP00156,CUST4261,Sporting Goods,F,Flight,Hyderabad-Pune,1,1,290.68,5,52.3,5254,8,13,0,2023-03-15
SHIP00157,CUST9446,Fashion,C,Road,Mumbai-Chennai,2,4,4954.02,4,38.6,5155,10,10,1,2023-11-07
SHIP00158,CUST5911,Cosmetics,A,Flight,Mumbai-Chennai,6,1,4901.5,4,51.8,6941,10,14,0,2023-10-16
SHIP00159,CUST5350,Books,F,Road,Delhi-Bangalore,6,1,2959.26,2,34.1,6907,3,6,0,2023-08-31
SHIP00160,CUST4968,Electronics,F,Road,Delhi-Mumbai,2,1,2261.09,6,9.8,6656,9,9,1,2023-12-15
SHIP00161,CUST8726,Books,A,Road,Delhi-Bangalore,5,2,2848.35,7,34.2,3570,6,8,0,2023-09-14
SHIP00162,CUST6608,Sporting Goods,C,Road,Bangalore-Chennai,6,3,3089.38,3,62.2,3285,5,7,0,2023-09-30
SHIP00163,CUST5735,Books,B,Road,Bangalore-Chennai,4,3,2451.04,8,60.7,6911,7,7,1,2023-06-02
SHIP00164,CUST9899,Cosmetics,D,Flight,Delhi-Bangalore,3,1,1509.39,1,22.5,4623,7,8,0,2023-03-04
SHIP00165,CUST4505,Fashion,F,Flight,Hyderabad-Pune,6,3,772.64,3,15.8,6487,7,11,0,2023-09-03
SHIP00166,CUST1860,Electronics,D,Flight,Bangalore-Chennai,4,1,3437.84,2,0.3,5508,6,10,0,2023-04-30
SHIP00167,CUST8793,Cosmetics,B,Flight,Mumbai-Chennai,3,1,4548.89,1,42.4,2902,5,7,0,2023-12-01
SHIP00168,CUST3880,Electronics,D,Flight,Delhi-Bangalore,6,3,4396.04,0,19.4,5937,3,3,1,2023-08-02
SHIP00169,CUST8444,Books,F,Road,Kolkata-Delhi,2,5,2393.3,3,52.6,3708,4,5,0,2023-05-26
SHIP00170,CUST5215,Books,B,Ship,Bangalore-Chennai,3,3,2882.13,3,11.4,6232,5,9,0,2023-08-23
SHIP00171,CUST9442,Home & Garden,A,Flight,Bangalore-Chennai,1,2,4910.26,7,21.0,3032,9,14,0,2023-08-07
SHIP00172,CUST4858,Cosmetics,C,Flight,Mumbai-Chennai,5,5,156.04,5,45.0,1508,3,4,0,2023-07-16
SHIP00173,CUST3616,Cosmetics,F,Road,Mumbai-Chennai,6,1,3229.69,4,23.9,2809,4,6,0,2023-06-07
SHIP00174,CUST3509,Cosmetics,F,Flight,Kolkata-Delhi,6,5,4572.7,8,52.1,2789,6,6,1,2023-09-02
SHIP00175,CUST2341,Sporting Goods,D,Road,Bangalore-Chennai,3,1,4594.5,1,4.0,5486,6,10,0,2023-11-02
SHIP00176,CUST3455,Fashion,C,Road,Kolkata-Delhi,1,2,3612.9,7,5.9,5180,6,9,0,2023-10-02
SHIP00177,CUST8429,Fashion,F,Flight,Kolkata-Delhi,5,1,2838.11,4,47.0,4243,10,15,0,2023-01-29
SHIP00178,CUST4570,Sporting Goods,A,Ship,Kolkata-Delhi,3,1,2751.7,0,60.7,1565,7,12,0,2023-01-02
SHIP00179,CUST7698,Fashion,B,Road,Bangalore-Chennai,6,4,1934.86,6,29.2,4092,10,9,1,2023-05-27
SHIP00180,CUST9835,Fashion,C,Ship,Delhi-Bangalore,5,4,2691.33,3,54.3,1186,9,8,1,2023-12-16
SHIP00181,CUST9920,Cosmetics,F,Flight,Delhi-Bangalore,2,4,1796.18,4,12.3,6939,7,9,0,2023-12-11
SHIP00182,CUST7868,Sporting Goods,A,Ship,Delhi-Bangalore,1,1,3010.33,7,38.9,6761,4,3,1,2023-12-05
SHIP00183,CUST7590,Cosmetics,B,Road,Delhi-Bangalore,7,1,786.66,4,15.2,6992,3,3,1,2023-01-23
SHIP00184,CUST6253,Fashion,C,Ship,Bangalore-Chennai,5,2,2126.45,4,4.0,5846,8,11,0,2023-11-03
SHIP00185,CUST7999,Sporting Goods,D,Ship,Mumbai-Chennai,6,4,3950.44,5,45.3,4344,5,9,0,2023-12-14
SHIP00186,CUST4012,Sporting Goods,D,Ship,Delhi-Bangalore,3,2,4048.3,0,36.6,4412,5,6,0,2023-07-12
SHIP00187,CUST5177,Fashion,C,Road,Delhi-Mumbai,4,3,553.07,3,3.3,4089,5,7,0,2023-05-05
SHIP00188,CUST4082,Sporting Goods,F,Ship,Kolkata-Delhi,2,3,1585.62,0,13.8,2556,3,8,0,2023-02-07
SHIP00189,CUST4974,Books,F,Road,Delhi-Bangalore,4,2,2805.19,4,24.7,5371,4,8,0,2023-09-03
SHIP00190,CUST6892,Sporting Goods,D,Flight,Delhi-Mumbai,7,4,3831.98,5,59.4,4036,8,9,0,2023-05-14
SHIP00191,CUST4625,Books,B,Ship,Mumbai-Chennai,5,5,2937.8,6,19.2,2607,8,10,0,2023-01-24
SHIP00192,CUST5026,Cosmetics,F,Road,Bangalore-Chennai,3,3,3840.47,7,62.8,6256,8,8,1,2023-07-14
SHIP00193,CUST6770,Fashion,B,Road,Hyderabad-Pune,4,2,4592.81,8,64.4,1481,10,12,0,2023-03-28
SHIP00194,CUST1794,Electronics,D,Ship,Bangalore-Chennai,2,1,3565.13,0,14.2,4735,3,8,0,2023-02-08
SHIP00195,CUST8916,Books,D,Ship,Delhi-Mumbai,5,5,2115.56,0,34.4,3250,8,7,1,2023-11-13
SHIP00196,CUST8054,Fashion,A,Ship,Hyderabad-Pune,2,2,1040.47,8,16.4,3903,7,6,1,2023-09-15
SHIP00197,CUST2294,Home & Garden,D,Flight,Hyderabad-Pune,2,2,1569.88,1,42.5,6323,7,12,0,2023-07-23
SHIP00198,CUST7213,Cosmetics,F,Flight,Delhi-Mumbai,6,1,3543.94,1,32.5,4554,3,2,1,2023-07-27
SHIP00199,CUST9653,Electronics,B,Ship,Bangalore-Chennai,5,4,1428.37,1,44.5,3296,8,11,0,2023-02-18
SHIP00200,CUST1256,Fashion,F,Ship,Bangalore-Chennai,7,4,4651.49,4,10.6,2969,3,3,1,2023-06-11
SHIP00201,CUST6435,Cosmetics,B,Road,Bangalore-Chennai,1,5,3752.74,5,3.5,4580,9,13,0,2023-10-04
SHIP00202,CUST6580,Sporting Goods,F,Road,Kolkata-Delhi,7,3,245.17,4,50.9,4690,6,11,0,2023-02-08
SHIP00203,CUST7150,Cosmetics,B,Road,Hyderabad-Pune,6,4,519.9,4,51.9,6841,10,10,1,2023-07-02
SHIP00204,CUST3526,Cosmetics,B,Road,Kolkata-Delhi,3,3,622.1,0,61.3,4643,4,3,1,2023-05-18
SHIP00205,CUST2674,Fashion,A,Ship,Kolkata-Delhi,4,5,2818.23,6,6.7,1734,8,13,0,2023-05-19
SHIP00206,CUST6315,Cosmetics,A,Flight,Kolkata-Delhi,4,1,3651.73,8,58.8,2988,8,11,0,2023-02-17
SHIP00207,CUST3777,Fashion,C,Flight,Mumbai-Chennai,4,2,410.01,6,17.9,3455,5,9,0,2023-07-14
